Equipment,Date,Task,Assigned To
Valve A-403,2023-10-01,Inspection,Maintenance Tech 1
Valve A-403,2023-10-16,Cleaning,Maintenance Tech 2
Valve A-403,2023-10-31,Inspection,Maintenance Tech 1
Valve A-403,2023-11-15,Cleaning,Maintenance Tech 2
Valve A-403,2023-11-30,Inspection,Maintenance Tech 1
Valve A-403,2023-12-15,Cleaning,Maintenance Tech 2
Heat Exchanger HX-101,2023-12-30,Inspection,Maintenance Lead 1
Heat Exchanger HX-101,2024-01-14,Cleaning,Maintenance Lead 2
Heat Exchanger HX-101,2024-01-29,Inspection,Maintenance Lead 1
Heat Exchanger HX-101,2024-02-13,Cleaning,Maintenance Lead 2
Heat Exchanger HX-101,2024-02-28,Inspection,Maintenance Lead 1
Heat Exchanger HX-101,2024-03-14,Cleaning,Maintenance Lead 2
Piping Network L-205,2024-03-29,Inspection,Piping Tech 1
Piping Network L-205,2024-04-13,Cleaning,Piping Tech 2
Piping Network L-205,2024-04-28,Inspection,Piping Tech 1
Piping Network L-205,2024-05-13,Cleaning,Piping Tech 2
Piping Network L-205,2024-05-28,Inspection,Piping Tech 1
Piping Network L-205,2024-06-12,Cleaning,Piping Tech 2
