Equipment,Date,Task,Assigned To
Valve A-403,2026-08-31,Inspection,Tech 1
Heat Exchanger HX-101,2026-08-31,Cleaning,Tech 2
Piping Network L-205,2026-08-31,Pressure Test,Tech 3
Valve A-403,2026-09-07,Inspection,Tech 1
Heat Exchanger HX-101,2026-09-07,Cleaning,Tech 2
Piping Network L-205,2026-09-07,Pressure Test,Tech 3
Valve A-403,2026-09-14,Inspection,Tech 1
Heat Exchanger HX-101,2026-09-14,Cleaning,Tech 2
Piping Network L-205,2026-09-14,Pressure Test,Tech 3
Valve A-403,2026-09-21,Inspection,Tech 1
Heat Exchanger HX-101,2026-09-21,Cleaning,Tech 2
Piping Network L-205,2026-09-21,Pressure Test,Tech 3
Valve A-403,2026-09-28,Inspection,Tech 1
Heat Exchanger HX-101,2026-09-28,Cleaning,Tech 2
Piping Network L-205,2026-09-28,Pressure Test,Tech 3
Valve A-403,2026-10-05,Inspection,Tech 1
Heat Exchanger HX-101,2026-10-05,Cleaning,Tech 2
Piping Network L-205,2026-10-05,Pressure Test,Tech 3
Valve A-403,2026-10-12,Inspection,Tech 1
Heat Exchanger HX-101,2026-10-12,Cleaning,Tech 2
Piping Network L-205,2026-10-12,Pressure Test,Tech 3
Valve A-403,2026-10-19,Inspection,Tech 1
Heat Exchanger HX-101,2026-10-19,Cleaning,Tech 2
Piping Network L-205,2026-10-19,Pressure Test,Tech 3
Valve A-403,2026-10-26,Inspection,Tech 1
Heat Exchanger HX-101,2026-10-26,Cleaning,Tech 2
Piping Network L-205,2026-10-26,Pressure Test,Tech 3
Valve A-403,2026-11-02,Inspection,Tech 1
Heat Exchanger HX-101,2026-11-02,Cleaning,Tech 2
Piping Network L-205,2026-11-02,Pressure Test,Tech 3
Valve A-403,2026-11-09,Inspection,Tech 1
Heat Exchanger HX-101,2026-11-09,Cleaning,Tech 2
Piping Network L-205,2026-11-09,Pressure Test,Tech 3
Valve A-403,2026-11-16,Inspection,Tech 1
Heat Exchanger HX-101,2026-11-16,Cleaning,Tech 2
Piping Network L-205,2026-11-16,Pressure Test,Tech 3
Valve A-403,2026-11-23,Inspection,Tech 1
Heat Exchanger HX-101,2026-11-23,Cleaning,Tech 2
Piping Network L-205,2026-11-23,Pressure Test,Tech 3
